,IntLoad_Corezn,IntLoad_Topzn1,IntLoad_Topzn2,IntLoad_Topzn3,IntLoad_Topzn4,DiffuseSolar,DirectSolar
2006-10-05 04:00:00,6549.316341108355,536.2266514982348,345.5572891132426,536.2149260838319,345.5572891132426,0.0,0.0
2006-10-05 05:00:00,6648.489496108504,612.3143939074413,394.77439166063874,612.5805749409806,394.952139796817,0.0,0.0
2006-10-05 06:00:00,7190.105253027121,773.6419937192018,500.4743562996437,774.2537575660525,504.207368657335,4.0,2.0
2006-10-05 07:00:00,18492.917583890005,2169.9051449747503,1381.9713298729184,2170.446249697321,1441.8564447216868,60.0,3.0
2006-10-05 08:00:00,18570.224176341264,2091.6166294364366,1353.7585552190135,2090.9760274105,1375.1544596310105,173.0,63.0
2006-10-05 09:00:00,18595.60960378008,2074.0511455118885,1335.6539396067901,2073.9809704888394,1355.7066117854952,89.0,768.0
2006-10-05 10:00:00,18597.194068972647,2074.0135978969593,1335.5686352783332,2073.946512536283,1337.7335263775635,227.0,574.0
2006-10-05 11:00:00,14673.672758262113,1577.9336310427848,1015.9613014369534,1578.0150763416868,1016.0526873521991,232.0,358.0
2006-10-05 12:00:00,18763.864871954516,2073.8581930534056,1335.5172610839113,2073.917538643485,1335.5772535651822,290.0,807.0
2006-10-05 13:00:00,18725.857330246195,2041.9586814360296,1335.6147758600046,2074.0509603076916,1335.6247015838069,247.0,701.0
2006-10-05 14:00:00,18494.9746692633,2031.6206441471074,1335.5766906795782,2073.9920328696717,1335.6010343579817,139.0,633.0
2006-10-05 15:00:00,18477.137497533375,2069.3447745057592,1335.5542245430483,2073.952114200086,1335.569048609469,166.0,640.0
2006-10-05 16:00:00,9288.24493743097,964.9298749269237,621.4435569245416,965.1599073458297,621.4516359032764,89.0,210.0
2006-10-05 17:00:00,6286.265014136412,672.0921283153582,433.1262400118942,672.0993020366452,433.12574641052674,21.0,2.0
2006-10-05 18:00:00,6235.001115709401,672.1091147382531,433.1240665312006,672.0960728500714,433.1235822142549,0.0,0.0
2006-10-05 19:00:00,5947.887109341129,644.066095464669,415.5083040522407,644.925213009419,416.4243874813557,0.0,0.0
2006-10-05 20:00:00,5978.072525964406,644.0649969297415,416.488097270543,646.373427229212,417.61799657126505,0.0,0.0
2006-10-05 21:00:00,5331.152034982394,575.4992788494444,371.70843626349426,576.8310113631924,372.37671205883936,0.0,0.0
2006-10-05 22:00:00,5159.832927063013,558.1866548983269,360.55258561283847,559.8210093439791,360.63155307008805,0.0,0.0
