,Corezn,Perimeterzn1,Perimeterzn2,Perimeterzn3,Perimeterzn4,CoreznDAT,Perimeterzn1DAT,Perimeterzn2DAT,Perimeterzn3DAT,Perimeterzn4DAT,MAT,Coolingcoil_Outtemp,Fan_outtemp,RAT,OAT
2006-02-03 18:00:00,23.8787355986083,24.00082884300368,23.108128922363477,22.725506121279686,23.50984708364171,15.556388184123545,15.556388184123545,15.556388184123545,15.556388184123545,15.556388184123545,17.8,14.99985891848149,15.55557613150057,24.480656295748926,17.8
2006-02-03 19:00:00,23.628359114749983,23.853173167405238,22.668473557813083,22.270926107785044,22.659069461487846,15.555514999308356,15.555514999308356,15.555514999308356,15.555514999308356,15.555514999308356,16.700000000000003,14.999395360337918,15.555555575280705,23.90715198734017,16.7
2006-02-03 20:00:00,23.37893187641419,23.469300354904405,22.272182534529477,21.902482359096126,22.132393702105155,15.555554270713781,15.555554270713781,15.555554270713781,15.555554270713781,15.555554270713781,15.6,14.999867095830018,15.555554270713781,23.488669208825385,15.6
2006-02-03 21:00:00,23.145724904964272,23.093399829512066,21.918807967056303,21.58255330544077,21.6944847795124,15.55555472925581,15.55555472925581,15.55555472925581,15.55555472925581,15.55555472925581,15.6,14.999873385547119,15.55555472925581,22.965439608220287,15.6
2006-02-03 22:00:00,23.960893780130526,23.66297100332806,22.48238580470824,22.06451691147614,22.5144674389286,22.493974236195186,22.493974236195186,22.493974236195186,22.493974236195186,22.493974236195186,22.493974236195186,22.493974236195186,22.493974236195186,22.493974236195186,15.0
2006-02-03 23:00:00,24.185021221670617,23.495253421802868,22.35028334268164,21.930523257071847,22.45940036978402,22.264445649792574,22.264445649792574,22.264445649792574,22.264445649792574,22.264445649792574,22.264445649792574,22.264445649792574,22.264445649792574,22.264445649792574,13.9
2006-02-04 00:00:00,24.13132599540218,23.413690769370373,22.321079458616357,21.90063738480863,22.451719593914145,22.06505048604585,22.06505048604585,22.06505048604585,22.06505048604585,22.06505048604585,22.06505048604585,22.06505048604585,22.06505048604585,22.06505048604585,15.0
2006-02-04 01:00:00,24.05686775608996,23.232813845081445,22.219270726611967,21.812234086893266,22.348941719417976,22.050876910747306,22.050876910747306,22.050876910747306,22.050876910747306,22.050876910747306,22.050876910747306,22.050876910747306,22.050876910747306,22.050876910747306,13.9
2006-02-04 02:00:00,23.995861612037572,22.848974512250148,21.881870428277775,21.517649322939988,22.005800264467396,21.963765639667027,21.963765639667027,21.963765639667027,21.963765639667027,21.963765639667027,21.963765639667027,21.963765639667027,21.963765639667027,21.963765639667027,13.3
2006-02-04 03:00:00,23.897088673419155,22.555715785149005,21.646081446858762,21.326111657729868,21.774625906785833,21.842935213416936,21.842935213416936,21.842935213416936,21.842935213416936,21.842935213416936,21.842935213416936,21.842935213416936,21.842935213416936,21.842935213416936,12.8
2006-02-04 04:00:00,23.776939223368608,22.601390044647168,21.72008711759253,21.41085340677272,21.8505246647182,21.722860834925594,21.722860834925594,21.722860834925594,21.722860834925594,21.722860834925594,21.722860834925594,21.722860834925594,21.722860834925594,21.722860834925594,11.7
2006-02-04 05:00:00,23.68766478055933,22.033954443287975,21.200025978925208,20.931694445593422,21.315239524575063,21.53093068893804,21.53093068893804,21.53093068893804,21.53093068893804,21.53093068893804,21.53093068893804,21.53093068893804,21.53093068893804,21.53093068893804,11.7
2006-02-04 06:00:00,22.459888936483246,21.121452164034906,21.00538312751553,20.99769077321315,21.012046647450838,15.555518207188666,16.249230871630772,19.86958476383777,21.14688520014716,19.90924021666194,15.000156207707457,15.000156207707457,15.555518207188666,21.515691777384994,10.0
2006-02-04 07:00:00,22.198195781179614,21.005652599960808,20.99862114462175,21.000303203067865,20.997849004159775,15.55557067532543,16.561954612929938,19.074038433504953,21.045007551012162,20.273684785789683,15.000534932666174,15.000534932666174,15.55557067532543,21.426854178708915,10.0
2006-02-04 08:00:00,22.315849320000673,21.610688249382413,21.666276105953983,20.99798419524641,20.997688218963066,15.555539815917848,15.555539815917848,15.555539815917848,18.66144598661934,18.787750095136946,15.000331633261194,15.000331633261194,15.555539815917848,21.337041486806125,10.6
2006-02-04 09:00:00,22.43236948744849,23.790582811987033,23.831686952125402,21.055024889239043,21.000464018788797,15.556467779110427,15.556467779110427,15.556467779110427,15.556467779110427,16.686500233641752,15.000375233099806,15.000375233099806,15.555447499209187,21.991440878380967,12.199999999999998
2006-02-04 10:00:00,22.65492098967485,23.979874596078965,23.988459388219482,21.61525238643305,21.27763277504986,15.55351551585504,15.55351551585504,15.55351551585504,15.55351551585504,15.55351551585504,14.981256198174474,14.981256198174474,15.55339235976479,22.59988833927556,13.899999999999999
2006-02-04 11:00:00,22.839930980391163,23.997002085715785,23.99542765918214,21.963590719733368,21.581429976904527,15.556086247075843,15.556086247075843,15.556086247075843,15.556086247075843,15.556086247075843,14.995013943472763,14.995013943472763,15.556058731246384,23.071161829927703,14.4
2006-02-04 12:00:00,22.641880682006526,23.930190124223486,23.22943413530119,21.99410261549761,21.526989664064033,15.555274098693374,15.555274098693374,15.555274098693374,15.555274098693374,15.555274098693374,15.000321102156951,15.000321102156951,15.555555890606323,23.419379483880732,14.399999999999999
2006-02-04 13:00:00,22.564448356096758,23.98827682977477,22.938334896058763,22.039428444645612,21.677917532307966,15.554722136826259,15.554722136826259,15.554722136826259,15.554722136826259,15.554722136826259,15.00030005644726,15.00030005644726,15.554874558298094,23.48336410298547,14.4
2006-02-04 14:00:00,22.625014684914852,23.999616525230053,22.960009505661112,22.177107721401374,23.46078057237325,15.55563698844798,15.55563698844798,15.55563698844798,15.55563698844798,15.55563698844798,15.6,14.971827562068688,15.555461406085529,23.72361418089276,15.599999999999998
2006-02-04 15:00:00,22.676785642628367,23.99877534983918,22.92082128701534,22.227349443635646,23.93455037914923,15.555961370828534,15.555961370828534,15.555961370828534,15.555961370828534,15.555961370828534,16.1,14.966157847952438,15.555584999694574,23.83269952572655,16.1
2006-02-04 16:00:00,22.68410139163957,23.999732454697295,22.643279102796217,22.062378278065356,23.994115456956447,15.532817668326155,15.532817668326155,15.532817668326155,15.532817668326155,15.532817668326155,16.100000000000005,14.963690411909624,15.532703329537814,23.966476005110287,16.1
2006-02-04 17:00:00,22.46797437329969,23.691016557179854,22.01487957203507,21.49864905835992,23.2492325483473,15.55557164016572,15.55557164016572,15.55557164016572,15.55557164016572,15.55557164016572,15.0003627589242,15.00033028185505,15.55557164016572,23.469174441120224,14.399999999999999
2006-02-04 18:00:00,23.21320046075019,23.721407048807663,22.321832854115954,21.72931305762793,23.21478943274864,22.826455509968348,22.826455509968348,22.826455509968348,22.826455509968348,22.826455509968348,22.826455509968348,22.826455509968348,22.826455509968348,22.826455509968348,13.899999999999999
2006-02-04 19:00:00,23.440830725473155,23.55652636720102,22.314084094364816,21.72049236202352,22.946643543530623,22.41123662673006,22.41123662673006,22.41123662673006,22.41123662673006,22.41123662673006,22.41123662673006,22.41123662673006,22.41123662673006,22.41123662673006,13.3
2006-02-04 20:00:00,23.44768046838118,22.97207327485234,21.875282054139262,21.324263393437622,22.333882084779557,21.81723234768377,21.81723234768377,21.81723234768377,21.81723234768377,21.81723234768377,21.81723234768377,21.81723234768377,21.81723234768377,21.81723234768377,13.3
2006-02-04 21:00:00,23.347595124457136,22.50086946611493,21.481329203011377,20.972784161946365,21.849513499196455,21.48333239135853,21.48333239135853,21.48333239135853,21.48333239135853,21.48333239135853,21.48333239135853,21.48333239135853,21.48333239135853,21.48333239135853,12.2
