,CoiloutletEnthalpy,CoilinletEnthalpy,Chillerpower,Fanpower,HeatSP,CoolSPCore,CoolSPPerimeter1,CoolSPPerimeter2,CoolSPPerimeter3,CoolSPPerimeter4,Drybulb,Wetbulb,HVAC_Corezn,HVAC_Topzn1,HVAC_Topzn2,HVAC_Topzn3,HVAC_Topzn4
2006-06-24 03:00:00,35733.785654660154,49200.182068515154,9640.280537481634,2332.350451930406,15.600000000000001,24.660000000000004,25.370000000000005,23.04,24.131,25.619,31.1,18.323354904735062,-18599.63087318741,-3704.831938517317,-5138.760421202303,-4444.373931724784,-3470.9455280988286
2006-06-24 04:00:00,35672.25029622094,47504.39633885728,10456.15044408929,4404.354702292784,15.599999999999998,23.028,23.983,23.04,24.131,25.618999999999996,30.0,18.215445862449215,-32179.247475622622,-4407.341898548864,-4575.446458551868,-3685.703809243554,-3340.3491096598077
2006-06-24 05:00:00,36456.456253385986,49146.38141992603,9640.280537481634,2134.943544249184,15.6,24.85,23.983,25.969,24.131,24.319,30.0,18.219418985660145,-17766.156875812307,-4191.918393193528,-2525.8235526285125,-4208.179712125853,-3309.233740833324
2006-06-24 06:00:00,36644.84194508644,49599.419358775376,9640.280537481634,2384.9548843972034,15.600000000000001,23.924,23.983000000000004,25.969,24.131,24.619,30.6,18.429617300742095,-17992.619828170027,-4681.833691597737,-3954.5138136567275,-6422.852751923386,-3371.1958177863767
2006-06-24 07:00:00,36287.53794319158,49348.17067787232,10985.246448875618,4258.61974044219,15.6,23.924,25.679,24.421,24.611,23.18,32.2,18.86462445700948,-24596.57784657126,-3902.7895219153893,-13181.707614240595,-7109.234626300269,-5716.383817579703
2006-06-24 08:00:00,33331.56141431183,50402.97148321339,12557.378137887681,3845.0142110995675,15.599999999999998,23.924,24.048999999999996,24.741,24.611,23.18,33.9,19.005327213433198,-27905.753640562118,-7685.623692547978,-18009.4007948685,-7626.23281218678,-6718.433259252978
2006-06-24 09:00:00,33521.4388915791,51452.3895322927,13387.20985451664,3974.9400967872843,15.600000000000001,23.924,25.943000000000005,24.741,23.997,25.147,35.6,19.574504808402633,-31554.352423893077,-5241.712086182426,-17960.86391389227,-10507.132920583665,-4755.302544352146
2006-06-24 10:00:00,33637.81386495803,51089.07629999329,14623.102191974649,5313.718534532179,15.599999999999998,23.923999999999996,24.047999999999995,24.741,25.922,23.340999999999998,36.7,19.385187542940294,-33989.509982508585,-11379.088753349306,-16366.890744405535,-5447.667525168526,-8046.834946851939
2006-06-24 11:00:00,35548.09437687657,51918.75840230429,13005.244608195771,4450.458836051223,15.6,24.573,24.048,24.741,25.922,24.552,36.7,19.385187542940294,-20493.002819886417,-13843.80345496122,-11662.4069141955,-5926.768355351274,-5697.602978038761
2006-06-24 12:00:00,35296.806856839336,50957.9092306723,17262.869095634866,10216.480782552191,15.599999999999998,23.592999999999996,24.047999999999995,23.809999999999995,25.921999999999997,23.425999999999995,39.4,20.050412488805566,-36921.0890290622,-14170.65606242359,-10724.518753973973,-7747.89795731147,-8228.90534973425
2006-06-24 13:00:00,34857.20954699795,52026.99394934065,15024.971639574811,5700.88151745264,15.599999999999998,25.805,24.047999999999995,23.809999999999995,25.921999999999997,23.425999999999995,38.9,19.74759058883066,-19604.867858519337,-14091.227223382626,-9799.26034380835,-8069.031808968188,-11217.623708626226
2006-06-24 14:00:00,34483.38674817537,50278.129741516444,18499.61100913494,12233.85599703331,15.599999999999998,23.61,24.047999999999995,23.809999999999995,25.921999999999997,23.425999999999995,40.0,20.0409882830577,-35552.430465657504,-13839.44644228899,-9723.61278556626,-8883.698381840595,-14853.112863137158
2006-06-24 15:00:00,35532.97669316711,52635.13572395408,16162.415659370778,6466.766709927157,15.6,25.744,24.048,23.81,24.472,24.672,39.4,20.718389928222475,-19577.31833198114,-12303.986586329265,-9174.549152797154,-12754.003918185379,-13538.050387796702
2006-06-24 16:00:00,34827.61494325775,52131.90546321809,14506.343572027734,4979.162334866767,15.6,25.744,24.048,23.81,25.886,24.269,39.4,20.032103958619107,-19683.85114829345,-10858.569695162767,-8252.696718818443,-6647.553019396593,-14568.803789178139
2006-06-24 17:00:00,34704.11112142994,49583.57532566965,19395.195132225715,15865.272217854956,15.600000000000001,23.135000000000005,24.508000000000003,24.920000000000005,23.557000000000002,25.225000000000005,38.3,20.360175554148917,-43695.24199909545,-9761.01841757461,-5921.934646169428,-15169.270057276735,-18124.22982547761
2006-06-24 18:00:00,35406.960703870696,49387.18502011208,15460.006589253231,9709.862129837022,15.600000000000001,23.135000000000005,24.508000000000003,24.095,25.354,25.225000000000005,37.2,19.982966579591167,-37522.003529690846,-8075.769438549885,-6517.081965228245,-8974.626690913723,-15015.83477699442
2006-06-24 19:00:00,36132.88672796444,49764.6154065846,13855.758509553058,7274.973834385144,15.600000000000001,23.135000000000005,23.964,25.034,24.11,23.247,36.1,20.167341880832264,-31268.07096012503,-7993.861357430462,-3462.8515141103017,-9318.331128230702,-12068.721823691289
2006-06-24 20:00:00,36885.13598548087,51130.482944695315,10651.579954199522,3033.5290757191083,15.6,23.135,25.849,25.034,24.837,25.723,35.6,20.12386273435714,-27071.35179021016,-3699.453260519993,-2683.3249054508888,-4074.294340792402,-3670.0942955179735
2006-06-24 21:00:00,37573.53499229115,51110.59124083599,10196.25223133995,2917.4122694068155,15.599999999999998,23.135,25.849,25.033999999999995,23.919,25.722999999999995,33.9,20.036104129098632,-24635.321722077697,-3628.3541613670905,-2643.5820509939467,-5310.103681238933,-3534.62494414341
2006-06-24 22:00:00,38228.2834963149,51727.75320018646,9817.025465025652,2591.9464988734244,15.6,23.135,25.849,25.034,25.08,23.614,33.3,20.114330236378713,-22404.47224235988,-3584.2962022068104,-2582.071972763228,-3496.819030417389,-4283.6890263429505
2006-06-24 23:00:00,38420.19130340732,52740.049814730504,9732.524107551859,2322.766123039287,15.599999999999998,24.299999999999997,23.171,24.491,25.609,24.208,33.3,19.862980513713456,-17087.966162296292,-6807.586945044923,-2801.686565845396,-3570.6862024579714,-3472.673408944177
2006-06-25 00:00:00,39532.14512664123,53144.648578767934,9783.462956350128,2478.9390912068384,15.6000003814697,25.962,23.448,25.034,23.009,25.042,32.2,20.03707146202752,-17083.52701795246,-5188.324770412933,-2550.9980553229866,-6653.656478765395,-3381.083433700686
2006-06-25 01:00:00,39478.27135271375,52973.63254713367,9668.854503679613,2177.6665762960088,15.600000381469698,25.962,25.661,23.669,25.399,23.023,31.7,19.667671286311165,-17014.029669688287,-3353.9422105536023,-3147.961925855114,-3305.520374503042,-4285.969722958005
